name,star_rating,date,review,people,device
Dipti Shah,4,"July 25, 2023",V nice n helpful,None,Phone
Mark Hancock,5,"September 23, 2022",Perfect score.,None,Phone
Teitei Para,5,"July 12, 2023",Very good 👍,None,Phone
Liviu Cozac,5,"July 6, 2023",Good tool,None,Phone
waveD,5,"January 5, 2023",Good app,1,Phone
Rahil,5,"July 6, 2023",So cool,None,Phone
David,5,"July 21, 2023",Very useful,None,Phone
Zitro,5,"May 11, 2023",Great app,None,Phone
Rafhael Gacis,5,"March 20, 2023",Deserve.,1,Phone
Han Sak,5,"February 1, 2024",Good 👍👍👍,None,Phone
Usama Abubakar,5,"July 23, 2024",Thank you 🙏,None,Phone
Emmanuel “Mr.Royal Q” Bwire,1,"September 1, 2022",I like,None,Phone
Rizki Widi,5,"July 14, 2021",Cool,None,Phone
BeeZ Active,5,"February 4, 2022",Great!!!!!!,None,Phone
Collins Ashioya,5,"January 30, 2022",Wow,None,Phone
Darko,5,"November 9, 2021",Super,None,Phone
Trevor Fitzgerald,5,"January 31, 2021",Very good,1,Phone
Chris Arranz,5,"February 9, 2021",Very good,1,Phone
JUSTICE AWIAH,5,"December 6, 2020",Very good,1,Phone
Matsarif talib,5,"October 10, 2020",Good job,2,Phone
Digital World,5,"July 6, 2020",Very good,1,Phone
A Google user,5,"May 7, 2019",Good,3,Phone
Dylan Smith,5,"July 26, 2024","It taught me tables as I casually browsed the lesson between my main lessons.. My main guide said tables were outdated but I totally disagree on that one point I find their so usfull... Thanks still browsing keep up the good work :3... CSS grid is ight I mean but to lay down a grid in mass for a board game or chess not limited to even 1px unit dice with the ""eventlistener"" as it'll call 1px... ""Tables"".. anyhow thanks can even table a 200px dice inside a table...",None,Phone
Chris Gough,4,"September 23, 2023",Love this app and I've now paid for 3 of them. Only reason it's not 5 stars is because often on the Try it Yourself screen and while viewing the Output the top bar blocks the view of what you should be seeing. So sometimes it opens just to see a white empty page and it shouldn't be. Change that and I'll make it 5. Besides that I really like how this app was put together. Thank you.,None,Tablet
Volcan4698,3,"December 13, 2021","ive used all the proversions of CSS HTML and Javascript and the tutorials are amont the best ive seen but their is a fatel flaw, when first download the apps i have all the pro version on my phone and ive just recently installed them on my tablet but i can get to the lessons to look over as a review unless i import existing data granted i see you just fixed this but you should also add a skip button",12,Tablet
Winnie Church,5,"January 31, 2021","Excellent app! The dev could go into more detail though. I especially like the fact that examples are presented in context. Btw, do you have a course in JavaScript?",10,Tablet
Astro Biological,5,"June 24, 2023",This app has been a huge help in my learning journey. Just one suggestion: could you introduce landscape mode?,1,Tablet
Thomas Tom,4,"August 22, 2021","Je suis content pour cette app. But how do you add a picture o html, looks like its hard to add pictures from my android Huawei tablet",7,Tablet
Jason Collins,5,"August 11, 2022",Actually quite good,None,Tablet
philip kemp,5,"July 6, 2020",Exceptional App,1,Tablet
A Google user,5,"June 25, 2019","I'm well impressed with this teaching aid and I highly recommend it to anyone who is serious about learning HTML, well done DEVs 👏🙂",5,Tablet
